Name,MBID,URL,Image,Small Image
Tetris,d7d144ac-9ab8-4b13-bdd7-0589fa1e86ed,https://www.last.fm/music/Tetris,https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png,https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png
Empathy Test,de6ec777-0543-4d8c-8b1c-ee57910ef27a,https://www.last.fm/music/Empathy+Test,https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png,https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png
Test Icicles,f1ce0a98-fed9-4337-b817-398720ff6bd8,https://www.last.fm/music/Test+Icicles,https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png,https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png
Tetsuya Shibata,abaeaba7-59b7-4b61-9382-f9798e4fa963,https://www.last.fm/music/Tetsuya+Shibata,https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png,https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png
Teitanblood,e63e2784-31af-437b-8174-31c27641b1e2,https://www.last.fm/music/Teitanblood,https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png,https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png
Nervous_testpilot,749efdb9-ff98-4a3f-a0f1-5cdaaca244c6,https://www.last.fm/music/Nervous_testpilot,https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png,https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png
Têtes Raides,739162d3-8f9d-4710-8fe1-a73e59690506,https://www.last.fm/music/T%C3%AAtes+Raides,https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png,https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png
Te-Tris,317eb170-fca2-4fdf-b878-fdacf1884860,https://www.last.fm/music/Te-Tris,https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png,https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png
Tété,81c8653f-a227-4341-a2a7-d906fb450060,https://www.last.fm/music/T%C3%A9t%C3%A9,https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png,https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png
Pulling Teeth,2205bfdc-9a60-4773-93d6-766627006f19,https://www.last.fm/music/Pulling+Teeth,https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png,https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png
Tetrarch,,https://www.last.fm/music/Tetrarch,https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png,https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png
Tveth,,https://www.last.fm/music/Tveth,https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png,https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png
Los Tetas,3a96e243-597c-49a0-8d75-8b05e189ac1b,https://www.last.fm/music/Los+Tetas,https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png,https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png
Il Teatro Degli Orrori,6ac2abb1-29af-475e-985b-e71854432a24,https://www.last.fm/music/Il+Teatro+Degli+Orrori,https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png,https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png
Teeth,7dd26ba7-2213-4120-a3a1-7cc3926df138,https://www.last.fm/music/Teeth,https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png,https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png
The Teeth,fae6f0a2-7b71-4535-a6c0-fe0eb1e28ddd,https://www.last.fm/music/The+Teeth,https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png,https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png
